chr	st	en	SM-7LV7V_1	SM-7LV7V_2	SM-7LV7W_1	SM-7LV7W_2	SM-7LV7X_1	SM-7LV7X_2	SM-7LV7Y_1	SM-7LV7Y_2	SM-7LV7Z_1	SM-7LV7Z_2	SM-7LV81_1	SM-7LV81_2	SM-7LV82_1	SM-7LV82_2	SM-7LV83_1	SM-7LV83_2	SM-7LV84_1	SM-7LV84_2	SM-7LV85_1	SM-7LV85_2	SM-7LV86_1	SM-7LV86_2	SM-7LV87_1	SM-7LV87_2	SM-7LV88_1	SM-7LV88_2	SM-7LV89_1	SM-7LV89_2	SM-7LV8A_1	SM-7LV8A_2	SM-7LV8B_1	SM-7LV8B_2	SM-7LV8C_1	SM-7LV8C_2	SM-7LV8D_1	SM-7LV8D_2
PFC10_API_IRAB	19500	33000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA
PFC10_API_IRAB	29000	34000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PFC10_API_IRAB	32500	34000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA
Pf3D7_01_v3	0	1500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	loss	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	0	8500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	loss	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	8500	36000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	9000	36000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA
Pf3D7_01_v3	9000	39000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	36000	88000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	loss	loss	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	91000	102500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	124000	124500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	139000	141000	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA
Pf3D7_01_v3	140000	141000	NA	NA	NA	gain	NA	gain	gain	gain	gain	gain	NA	gain	NA	gain	NA	NA	NA	NA	gain	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	NA	NA
Pf3D7_01_v3	184000	188000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	254500	255000	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	259000	259500	gain	gain	gain	gain	gain	NA	gain	gain	NA	NA	gain	gain	NA	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	gain	gain	NA	NA	NA	NA	gain
Pf3D7_01_v3	298000	298500	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	321500	322000	gain	NA	NA	NA	gain	NA	NA	NA	NA	NA	gain	gain	NA	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	330500	331000	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	403000	403500	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	410000	410500	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	413500	414000	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	418500	419000	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	423000	423500	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	471000	471500	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_01_v3	591500	608000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA
Pf3D7_01_v3	593000	608000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA
Pf3D7_01_v3	608000	618500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_02_v3	12000	22000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_02_v3	207000	207500	NA	NA	NA	NA	NA	gain	gain	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	209500	210000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA
Pf3D7_02_v3	211000	211500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	262500	263000	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	270000	270500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	270000	271000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA
Pf3D7_02_v3	303000	304000	NA	NA	NA	gain	gain	gain	gain	gain	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	NA	gain	NA	gain	gain	gain	gain	NA	gain	NA	gain	NA	gain
Pf3D7_02_v3	380000	380500	NA	gain	NA	gain	gain	gain	gain	gain	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	gain	NA	gain	gain	gain	gain	NA	gain	NA	gain	NA	gain
Pf3D7_02_v3	412500	413000	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	433500	436000	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	gain	NA	gain	NA	gain
Pf3D7_02_v3	477000	477500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	526000	526500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	540000	540500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	558000	559000	NA	gain	NA	gain	gain	gain	gain	gain	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	gain	NA	gain	gain	gain	gain	NA	gain	NA	gain	NA	gain
Pf3D7_02_v3	593500	594000	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	616500	617000	NA	NA	NA	NA	gain	gain	gain	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	gain	NA	NA	NA	gain
Pf3D7_02_v3	666500	667000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA
Pf3D7_02_v3	669000	669500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	675000	675500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	684000	684500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	gain	gain	NA	NA	NA	NA	NA	NA
Pf3D7_02_v3	699500	700000	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	703500	704000	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	709000	709500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	720000	720500	gain	gain	gain	gain	gain	gain	gain	gain	gain	NA	gain	NA	gain	NA	NA	gain	NA	gain	NA	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	NA	gain	gain	gain	NA	gain
Pf3D7_02_v3	752000	752500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	774000	774500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_02_v3	807500	808000	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	gain
Pf3D7_03_v3	2500	32500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	2500	63000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	3500	43500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	120000	124000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	loss	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	255000	256000	gain	NA	NA	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	NA	gain	gain	gain	gain	NA	gain	gain	gain	gain	gain	gain
Pf3D7_03_v3	287000	287500	NA	NA	NA	NA	gain	gain	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	287000	288000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	295500	296000	NA	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	353000	353500	NA	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	355000	355500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	364000	364500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	375000	375500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	408000	409000	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	408500	409000	NA	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	gain	NA	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	NA	NA	NA	gain	gain	NA	gain	NA	gain	gain	NA	NA
Pf3D7_03_v3	419000	419500	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	424000	425000	NA	NA	NA	NA	NA	gain	NA	NA	gain	gain	gain	NA	NA	gain	NA	gain	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	451500	452000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	477000	477500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	485000	485500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	502000	502500	gain	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	gain	NA	gain	NA	gain	gain	gain	gain	gain	gain	gain	gain	gain	NA	NA	NA	gain	NA	NA	NA	NA	gain	gain	NA	NA
Pf3D7_03_v3	516000	516500	NA	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	520500	521000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	534000	535000	NA	NA	NA	NA	NA	gain	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	538500	539000	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	548000	548500	gain	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	gain	NA	gain	NA	gain	gain	gain	gain	gain	gain	gain	gain	gain	NA	NA	NA	gain	NA	NA	NA	NA	gain	gain	NA	NA
Pf3D7_03_v3	587000	587500	NA	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA
Pf3D7_03_v3	632500	633000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	644000	644500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	644000	645000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	649500	650000	gain	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	gain	NA	NA	NA	gain	gain	gain	gain	gain	gain	gain	NA	gain	NA	NA	NA	gain	NA	NA	NA	NA	gain	gain	NA	NA
Pf3D7_03_v3	658500	659000	NA	NA	NA	NA	gain	gain	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	676000	676500	NA	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	NA	gain	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA
Pf3D7_03_v3	678500	679000	NA	NA	NA	NA	gain	gain	NA	NA	gain	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	686000	686500	gain	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	gain	NA	gain	NA	gain	gain	gain	gain	gain	gain	gain	gain	gain	NA	NA	NA	gain	NA	NA	NA	NA	gain	gain	NA	NA
Pf3D7_03_v3	697000	697500	NA	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	739500	740000	NA	NA	NA	NA	gain	gain	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	gain	gain	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA
Pf3D7_03_v3	788000	788500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pf3D7_03_v3	802500	803000	gain	gain	NA	NA	gain	gain	NA	NA	gain	gain	gain	gain	NA	gain	gain	gain	gain	gain	gain	NA	gain	gain	gain	gain	NA	gain	NA	gain	gain	NA	gain	NA	gain	gain	NA	NA
