chr	pos	vartype	varlen	vcomplex	STRtype	INDtype	DUST	STRP	STRE	alleles	call_rate	nuc_div	FDKDiscord	FDK2D4Incons	2D4Discord	2D4RefAbsent	FDKRefAbsent	coding	consequence	DD2FDKMAF
PFC10_API_IRAB	29000	SNP	1	0			1			2	1.0	0.0	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	95518	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	96676	INDEL	2	0.077		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	97296	INDEL	-2	0.027	STR	TArep	1	7	2.29	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	97825	INDEL	-1	0.027		polyA	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	98868	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	103413	INDEL	2	0.077	STR	TArep	1	8	2.12	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	104659	INDEL	-2	0.027		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	105268	INDEL	4	0.122		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	105643	INDEL	8	0.22		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	107519	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	107756	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	stop_lost	0.0
Pf3D7_01_v3	107848	INDEL	9	0.25		TArich	1			2	1.0	0.516	0	0	0	0	0	coding	disruptive_inframe_insertion	0.0
Pf3D7_01_v3	108363	INDEL	-4	0.027		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	108579	INDEL	8	0.22	STR	TArich	1	2	11.0	3	1.0	-1.0	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	108675	INDEL	6	0.171		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	109146	SNP	1	0	STR		0	2	8.5	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	109393	INDEL	8	0.22		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	110948	SNP	1	0			1			2	1.0	0.121	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	111040	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	111041	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_01_v3	111503	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	112038	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_01_v3	114473	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	114559	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	115636	INDEL	-3	0.027	STR	TArich	1	6	2.5	2	1.0	0.516	0	0	0	0	0	coding	disruptive_inframe_deletion	0.0
Pf3D7_01_v3	116613	INDEL	48	0.961			1			2	1.0	0.484	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	117048	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	117080	INDEL	-6	0.027		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	117338	INDEL	-10	0.027	STR	TArep	1	4	10.25	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	117367	SNP	1	0	STR		1	1	12.0	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	117427	INDEL	-10	0.027		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	118029	INDEL	12	0.31		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	118813	SNP	1	0	STR		1	6	3.5	2	1.0	0.516	1	0	1	0	0	intergenic		0.0
Pf3D7_01_v3	118823	SNP	1	0	STR		1	12	2.75	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	130198	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	130339	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	131265	INDEL	-4	0.027		TArich	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	131779	INDEL	-1	0.027		polyA	0			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	132196	INDEL	10	0.275		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	133125	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	133996	INDEL	-1	0.027		polyA	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	134194	INDEL	-2	0.027		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	136497	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	136681	INDEL	18	0.404			0			2	1.0	0.516	0	0	0	1	1	coding	disruptive_inframe_insertion	0.0
Pf3D7_01_v3	137201	INDEL	-3	0.027		TArich	1			2	1.0	0.516	0	0	0	1	1	coding	disruptive_inframe_deletion	0.0
Pf3D7_01_v3	137258	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	137470	INDEL	21	0.449	STR		1	3	5.67	2	1.0	0.516	0	0	0	1	1	coding	disruptive_inframe_insertion	0.0
Pf3D7_01_v3	138966	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	139191	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	151056	INDEL	-63	0.027			0			2	1.0	0.516	0	0	0	1	1	coding	disruptive_inframe_deletion	0.0
Pf3D7_01_v3	152995	INDEL	-6	0.027		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	153119	INDEL	2	0.077		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	153251	INDEL	-4	0.027	STR	TArep	1	9	2.0	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	153528	SNP	1	0	STR		1	29	3.9	2	1.0	0.0	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	153536	SNP	1	0	STR		1	29	3.9	2	1.0	0.0	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	165517	INDEL	-8	0.027	STR	TArich	1	2	9.0	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	165543	SNP	1	0	STR		1	4	7.25	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	165588	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_01_v3	166288	INDEL	10	0.275		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	168413	INDEL	-12	0.027	STR	TArep	1	4	6.75	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	168701	INDEL	-8	0.027		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	169013	INDEL	-18	0.027		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	169140	INDEL	2	0.077		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	169348	INDEL	-8	0.027	STR	TArep	1	4	3.25	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	169979	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	175955	INDEL	4	0.128		TArep	1			2	1.0	0.516	1	0	1	0	0	intergenic		0.0
Pf3D7_01_v3	176616	INDEL	-2	0.027		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	178146	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	178726	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	179952	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	179952	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	180034	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180073	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	180075	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180076	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	180078	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180131	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	180135	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	180159	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180160	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	180161	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180162	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180170	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180174	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180175	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180181	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	180183	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180186	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	180379	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	181405	INDEL	-1	0.027		polyA	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	181659	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	181781	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	181991	SNP	1	0			0			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	187373	INDEL	-4	0.027		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	187722	INDEL	10	0.262		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	187743	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	188548	INDEL	12	0.317	STR	TArich	1	2	16.5	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	188554	SNP	1	0	STR		1	2	16.5	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	188940	INDEL	10	0.275	STR	TArep	1	3	4.0	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	189244	INDEL	2	0.077		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	189317	INDEL	-4	0.027		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	189429	INDEL	8	0.22		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	189496	INDEL	2	0.077		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	190005	INDEL	2	0.077	STR	TArep	1	19	2.16	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	190022	SNP	1	0	STR		1	18	2.06	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	190023	SNP	1	0	STR		1	18	2.06	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	190260	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	190317	INDEL	-3	0.098		TArich	1			3	1.0	-1.0	1	0	1	0	0	coding	disruptive_inframe_deletion	0.0
Pf3D7_01_v3	190616	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	190862	INDEL	-12	0.027		TArich	1			2	1.0	0.516	1	0	1	0	0	coding	disruptive_inframe_deletion	0.0
Pf3D7_01_v3	190944	INDEL	24	0.543		TArep	0			2	1.0	0.516	0	0	0	1	1	coding	inframe_insertion	0.0
Pf3D7_01_v3	191168	SNP	1	0			1			2	1.0	0.121	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	191265	INDEL	12	0.295	STR		1	3	4.0	2	1.0	0.516	0	0	0	0	0	coding	disruptive_inframe_insertion	0.0
Pf3D7_01_v3	191424	INDEL	3	0.098	STR		1	27	5.44	2	1.0	0.516	0	0	0	1	1	coding	inframe_insertion	0.0
Pf3D7_01_v3	192111	SNP	1	0			0			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	192583	INDEL	45	0.868	STR		1	30	2.13	2	1.0	0.516	0	0	0	1	1	coding	disruptive_inframe_insertion	0.0
Pf3D7_01_v3	192620	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	192623	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	192625	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	192629	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	192635	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	192636	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	192638	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	192641	SNP	1	0			1			2	1.0	0.516	1	0	1	0	0	coding	synonymous_variant	0.0
Pf3D7_01_v3	192644	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	192650	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	192653	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	192656	SNP	1	0			1			2	1.0	0.516	1	0	1	0	0	coding	synonymous_variant	0.0
Pf3D7_01_v3	192659	SNP	1	0			1			2	1.0	0.516	1	0	1	0	0	coding	synonymous_variant	0.0
Pf3D7_01_v3	192662	SNP	1	0	STR		1	3	6.33	2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	192668	SNP	1	0	STR		1	3	6.33	2	1.0	0.516	0	0	0	1	1	coding	synonymous_variant	0.0
Pf3D7_01_v3	194843	INDEL	-9	0.027	STR		1	9	2.89	2	1.0	0.516	0	0	0	1	1	coding	disruptive_inframe_deletion	0.0
Pf3D7_01_v3	202500	INDEL	2	0.077	STR	TArep	1	10	2.0	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	205984	INDEL	-3	0.027			0			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	206074	INDEL	2	0.075	STR	TArep	1	11	2.18	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	207421	INDEL	33	0.723		TArep	1			2	1.0	0.516	0	0	0	1	1	coding	inframe_insertion	0.0
Pf3D7_01_v3	209385	INDEL	-36	0.027			1			2	1.0	0.516	0	0	0	0	0	coding	disruptive_inframe_deletion	0.0
Pf3D7_01_v3	210529	INDEL	12	0.31		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	210787	INDEL	8	0.22		TArep	1			2	1.0	0.516	1	0	1	0	0	intergenic		0.0
Pf3D7_01_v3	213204	SNP	1	0	STR		1	18	2.06	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	213225	SNP	1	0	STR		1	18	2.06	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	213227	SNP	1	0	STR		1	18	2.06	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	213236	INDEL	4	0.116	STR	TArich	1	18	2.06	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	214423	INDEL	2	0.075		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	214869	INDEL	-9	0.027		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	216754	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	216756	INDEL	6	0.167		TArich	1			2	1.0	0.516	0	0	0	0	0	coding	disruptive_inframe_insertion	0.0
Pf3D7_01_v3	217616	SNP	1	0	STR		1	4	4.25	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	217622	INDEL	4	0.122	STR	TArep	1	2	5.5	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	217624	SNP	1	0	STR		1	2	5.5	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	217626	SNP	1	0	STR		1	2	5.5	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	218481	INDEL	-4	0.027	STR	TArep	1	10	2.0	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	219549	INDEL	11	0.293	STR	TArich	1	3	6.67	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	219593	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	221146	INDEL	-4	0.027		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	221779	INDEL	-2	0.027		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	224135	INDEL	-10	0.027		TArep	1			2	1.0	0.516	1	0	1	0	0	intergenic		0.0
Pf3D7_01_v3	230219	INDEL	-20	0.027		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	230489	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	231442	INDEL	-12	0.027		TArich	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	231483	SNP	1	0	STR		1	4	11.0	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	231599	SNP	1	0	STR		1	6	2.83	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	231968	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	233535	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	234175	INDEL	2	0.077	STR		1	2	5.5	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	234187	SNP	1	0	STR		1	2	15.0	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	234954	INDEL	8	0.22		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	235932	SNP	1	0	STR		1	2	21.5	2	1.0	0.516	1	0	1	0	0	intergenic		0.0
Pf3D7_01_v3	236223	INDEL	-2	0.027		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	236829	INDEL	6	0.175		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	237356	INDEL	2	0.075		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	237483	INDEL	-4	0.463		TArep	1			3	1.0	-1.0	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	237558	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	239206	INDEL	6	0.175		TArich	1			2	1.0	0.516	0	0	0	1	1	coding	disruptive_inframe_insertion	0.0
Pf3D7_01_v3	239234	SNP	1	0	STR		1	3	5.33	2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	239237	SNP	1	0	STR		1	3	5.33	2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	239511	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	239511	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	239972	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	239972	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	240965	INDEL	30	0.646	STR		1	3	7.67	2	1.0	0.516	0	0	0	0	0	coding	disruptive_inframe_insertion	0.0
Pf3D7_01_v3	241843	SNP	1	0	STR		1	12	2.75	2	1.0	0.516	0	0	0	1	1	coding	missense_variant	0.0
Pf3D7_01_v3	242535	INDEL	-27	0.027			1			2	1.0	0.516	0	0	0	0	0	coding	inframe_deletion	0.0
Pf3D7_01_v3	244758	INDEL	9	0.238	STR	TArich	1	12	2.75	2	1.0	0.516	0	0	0	1	1	coding	disruptive_inframe_insertion	0.0
Pf3D7_01_v3	246384	INDEL	-3	0.027		TArich	1			2	1.0	0.516	0	0	0	1	1	coding	inframe_deletion	0.0
Pf3D7_01_v3	247302	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_01_v3	247913	INDEL	-4	0.027		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	248084	INDEL	-12	0.027		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	250439	INDEL	-5	0.027	STR	TArich	1	30	2.17	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	250589	INDEL	-4	0.027	TArep	TArep	1	2	8.5	2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	251519	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	252171	INDEL	6	0.171		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	252555	INDEL	-14	0.027		TArep	1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	253275	INDEL	18	0.452		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	255162	INDEL	4	0.122			1			2	1.0	0.516	0	0	0	0	0	intergenic		0.0
Pf3D7_01_v3	255504	INDEL	34	0.648			1			2	1.0	0.0	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	255747	SNP	1	0			1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	257195	INDEL	-21	0.027			0			2	1.0	0.516	0	0	0	1	1	coding	disruptive_inframe_deletion	0.0
Pf3D7_01_v3	259815	INDEL	-6	0.027	STR	TArep	1	14	2.5	2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	259874	INDEL	6	0.175		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
Pf3D7_01_v3	261092	SNP	1	0			1			2	1.0	0.516	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_01_v3	262260	INDEL	-22	0.027		TArep	1			2	1.0	0.516	0	0	0	1	1	intergenic		0.0
