chr	pos	vartype	varlen	vcomplex	alleles	call_rate	nuc_div	FdkXRefAbsent	2D4RefAbsent	FdkRefAbsent	FdkXDiscord	2D4Discord	FdkDiscord	GoldWirthIncons	2D4FDKIncons	coding	consequence	DD2FDKMAF
Pf3D7_07_v3	454026	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	454686	INDEL	10	0.239	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	455362	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	455494	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	455550	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	455626	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	455798	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	455897	INDEL	12	0.31	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	455974	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	456232	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	456262	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	456774	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	457005	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	457219	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	457269	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	457641	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	457793	INDEL	-21	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	disruptive_inframe_deletion	0.0
Pf3D7_07_v3	458775	INDEL	12	0.31	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	462295	INDEL	-1	0.027	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	462338	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	462339	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	462426	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	462728	INDEL	-6	0.027	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	462873	INDEL	-4	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	462904	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	463046	INDEL	-2	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	463422	INDEL	9	0.25	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	disruptive_inframe_insertion	0.0
Pf3D7_07_v3	463705	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	463815	INDEL	3	0.103	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	disruptive_inframe_insertion	0.0
Pf3D7_07_v3	463876	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	464260	INDEL	3	0.098	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	inframe_insertion	0.0
Pf3D7_07_v3	464317	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	464353	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	464538	INDEL	-6	0.027	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	inframe_deletion	0.0
Pf3D7_07_v3	465101	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465426	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	465508	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465579	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465648	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	465691	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465697	INDEL	63	1.164	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	disruptive_inframe_insertion	0.0
Pf3D7_07_v3	465704	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465706	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465729	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	465750	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	465753	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	465757	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465771	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	465774	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	465775	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465776	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465793	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465794	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465849	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	465928	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	465946	INDEL	-3	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	disruptive_inframe_deletion	0.0
Pf3D7_07_v3	466102	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466106	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466109	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466120	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466124	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466133	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466159	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466431	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466458	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466461	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	466465	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466466	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466482	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	466492	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466648	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	466843	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467025	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	467205	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467871	INDEL	-2	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	frameshift_variant	0.0
Pf3D7_07_v3	467877	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467879	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467882	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467886	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467887	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467888	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467889	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467892	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	467893	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467896	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	stop_gained	0.0
Pf3D7_07_v3	467897	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467901	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467904	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467907	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467909	INDEL	-10	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	frameshift_variant	0.0
Pf3D7_07_v3	467921	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467923	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467926	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467927	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467928	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	467929	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467931	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467932	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467937	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467939	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467940	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	467944	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467945	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467947	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467948	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	stop_gained	0.0
Pf3D7_07_v3	467949	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	467952	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467953	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467959	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467967	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467981	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467983	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	467984	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468005	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468006	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	468084	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	468150	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	468156	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	468158	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468228	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	468248	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468298	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468299	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468365	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468400	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468403	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468408	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468471	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468472	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468530	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468540	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	468541	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468576	INDEL	-84	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	inframe_deletion	0.0
Pf3D7_07_v3	468741	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468798	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	468876	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	468897	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	468931	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469454	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469462	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469463	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469465	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469488	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469490	INDEL	42	0.768	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	disruptive_inframe_insertion	0.0
Pf3D7_07_v3	469491	SNP	1	0	2	1.0	0.516	0	0	0	1	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	469504	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469510	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469527	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	469542	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	469554	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	469557	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469559	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469565	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469589	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469628	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469640	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	469716	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	469908	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	469911	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	470017	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	470040	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	470356	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	471237	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	471442	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	471854	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	472294	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	472959	INDEL	-7	0.027	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	472985	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	473039	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	473054	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	473203	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	473334	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	473404	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	473639	INDEL	-4	0.027	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	474179	INDEL	2	0.077	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	474492	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	474571	INDEL	4	0.116	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	474590	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	474754	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	474973	INDEL	-6	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	disruptive_inframe_deletion	0.0
Pf3D7_07_v3	475469	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	475576	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	475932	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	475957	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	475987	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	476196	INDEL	4	0.122	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	476223	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	476302	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	476306	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	476310	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	476327	INDEL	-1	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	476708	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	477191	INDEL	-10	0.027	2	1.0	0.516	0	0	0	1	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	477426	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	477561	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	477766	INDEL	-4	0.027	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	477855	INDEL	-13	0.027	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	478148	INDEL	-24	0.027	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	478420	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	478818	INDEL	-14	0.027	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	479217	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	479646	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	479648	INDEL	-7	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	479730	INDEL	-4	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	489573	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
