chr	pos	vartype	varlen	vcomplex	STRtype	INDtype	DUST	STRP	STRE	alleles	call_rate	nuc_div	Cl1Incons	Cl2Incons	Cl3Incons	coding	consequence	DD2FDKMAF
Pf3D7_01_v3	102006	SNP	1	0	STR		0	81	2.02	2	0.889	-1.0	1	0	1	coding	synonymous_variant	-1
Pf3D7_01_v3	102008	SNP	1	0	STR		0	81	2.02	2	0.889	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	102009	SNP	1	0	STR		0	81	2.02	2	0.889	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	102013	SNP	1	0	STR		0	81	2.02	2	0.889	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	104118	SNP	1	0	STR		0	2	12.5	2	0.722	-1.0	0	0	1	intergenic		-1
Pf3D7_01_v3	109179	SNP	1	0	STR		0	1	21.0	2	1.0	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	122106	SNP	1	0	STR		0	2	12.5	2	1.0	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	123985	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	123987	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	123991	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	123993	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	123994	INDEL	12	0.283		TArich	0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	124002	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	124050	SNP	1	0	STR		0	1	21.0	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	124474	SNP	1	0	STR		0	2	14.5	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	134210	INDEL	4	0.128		TArep	0			2	1.0	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	135906	SNP	1	0			0			2	1.0	-1.0	0	1	0	coding	missense_variant	-1
Pf3D7_01_v3	137258	SNP	1	0			0			2	1.0	-1.0	0	1	0	coding	missense_variant	-1
Pf3D7_01_v3	168922	INDEL	19	0.444	STR		0	2	24.0	2	0.611	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	174693	SNP	1	0	STR		0	12	4.83	2	0.778	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	176746	SNP	1	0			0			2	0.5	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	176782	SNP	1	0			0			2	0.5	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	176783	SNP	1	0			0			2	0.5	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	176785	SNP	1	0			0			2	0.5	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	176787	SNP	1	0			0			2	0.5	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	176793	SNP	1	0			0			2	0.5	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	176910	SNP	1	0	STR		0	2	14.0	2	0.5	-1.0	1	1	0	intergenic		-1
Pf3D7_01_v3	176912	SNP	1	0	STR		0	2	14.0	2	0.5	-1.0	1	1	0	intergenic		-1
Pf3D7_01_v3	177161	SNP	1	0			0			2	0.889	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	178146	SNP	1	0			0			2	1.0	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_01_v3	188159	INDEL	-16	0.027			0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	189885	SNP	1	0	STR		0	2	22.0	2	0.778	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	189886	SNP	1	0	STR		0	2	22.0	2	0.778	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	189887	SNP	1	0	STR		0	2	22.0	2	0.778	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	189888	SNP	1	0	STR		0	2	22.0	2	0.778	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	189889	INDEL	-12	0.027	STR	TArep	0	2	22.0	2	0.778	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	191676	INDEL	-3	0.027		TArich	0			2	1.0	-1.0	0	0	1	coding	disruptive_inframe_deletion	-1
Pf3D7_01_v3	191681	SNP	1	0			0			2	1.0	-1.0	0	0	1	coding	stop_gained	-1
Pf3D7_01_v3	227945	SNP	1	0			0			2	0.556	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	227960	INDEL	-29	0.027		TArep	0			2	0.5	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	250404	SNP	1	0	STR		0	30	2.17	2	1.0	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	257236	INDEL	42	0.782	STR		0	21	4.9	2	1.0	-1.0	0	0	1	coding	disruptive_inframe_insertion	-1
Pf3D7_01_v3	271942	INDEL	-6	0.027		TArep	0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	286509	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	295003	SNP	1	0			0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	357004	INDEL	-191	0.027			0			2	0.889	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	386255	SNP	1	0	STR		0	2	21.0	2	0.556	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	386256	SNP	1	0	STR		0	2	21.0	2	0.556	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	386709	SNP	1	0			0			2	0.889	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	386710	SNP	1	0			0			2	0.889	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	386711	SNP	1	0			0			2	0.889	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	386712	SNP	1	0			0			2	0.889	-1.0	1	0	1	coding	missense_variant	-1
Pf3D7_01_v3	386713	SNP	1	0			0			2	0.889	-1.0	1	0	1	coding	synonymous_variant	-1
Pf3D7_01_v3	386714	SNP	1	0			0			2	0.889	-1.0	1	0	1	coding	missense_variant	-1
Pf3D7_01_v3	386716	SNP	1	0			0			2	0.889	-1.0	1	0	1	coding	stop_gained	-1
Pf3D7_01_v3	386718	SNP	1	0			0			2	0.889	-1.0	1	0	1	coding	missense_variant	-1
Pf3D7_01_v3	386719	SNP	1	0			0			2	0.889	-1.0	1	0	1	coding	synonymous_variant	-1
Pf3D7_01_v3	416257	INDEL	-2	0.027		TArep	0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	431148	INDEL	-83	0.027	STR		0	4	5.25	2	0.889	-1.0	0	0	1	intergenic		-1
Pf3D7_01_v3	431467	INDEL	-7	0.027			0			2	0.778	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435343	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435345	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435348	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435350	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435351	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435352	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435353	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435355	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435357	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435358	SNP	1	0			0			2	0.944	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435362	SNP	1	0	STR		0	7	2.29	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435364	SNP	1	0	STR		0	7	2.29	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435365	SNP	1	0	STR		0	7	2.29	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435367	SNP	1	0	STR		0	7	2.29	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	435369	SNP	1	0	STR		0	7	2.29	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	482370	SNP	1	0	STR		0	14	2.79	2	0.722	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	482372	SNP	1	0	STR		0	14	2.79	2	0.722	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	482380	SNP	1	0	STR		0	14	2.79	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	482382	SNP	1	0	STR		0	14	2.79	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	482384	SNP	1	0	STR		0	14	2.79	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	482386	SNP	1	0	STR		0	14	2.79	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	482394	INDEL	-2	0.027	STR	polyA	0	14	2.79	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	482396	INDEL	0	0.452	STR	polyA	0	14	2.79	3	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	482400	INDEL	0	0.317	STR	polyA	0	14	2.79	3	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	487949	INDEL	6	0.372	STR		0	18	2.28	3	1.0	-1.0	1	0	0	coding	inframe_insertion	-1
Pf3D7_01_v3	487964	SNP	1	0	STR		0	18	2.28	2	1.0	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_01_v3	487967	SNP	1	0	STR		0	18	2.28	2	1.0	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_01_v3	487979	SNP	1	0	STR		0	18	2.28	2	1.0	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_01_v3	487985	SNP	1	0	STR		0	6	4.33	2	1.0	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_01_v3	487988	INDEL	15	0.372	STR		0	6	4.33	3	1.0	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_01_v3	488006	INDEL	-6	0.027	STR		0	21	3.24	2	1.0	-1.0	1	0	0	coding	disruptive_inframe_deletion	-1
Pf3D7_01_v3	488039	SNP	1	0	STR		0	21	3.24	2	1.0	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_01_v3	488130	SNP	1	0	STR		0	30	2.27	2	1.0	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_01_v3	488135	INDEL	0	0.372	STR		0	30	2.27	3	1.0	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_01_v3	490562	INDEL	2	0.077		TArep	0			20	0.944	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	494983	INDEL	-1	0.027		polyA	0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	494986	SNP	1	0			0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	494991	SNP	1	0			0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	494994	SNP	1	0			0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	494995	SNP	1	0			0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	495000	SNP	1	0			0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	495004	SNP	1	0			0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	504389	INDEL	4	0.171		TArep	0			3	0.944	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	509454	SNP	1	0	STR		0	5	19.8	2	0.722	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	509456	INDEL	17	0.391	STR		0	5	19.8	2	0.667	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	509457	INDEL	1	0.051	STR	polyA	0	5	19.8	3	0.722	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	524176	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	524189	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	524209	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	524415	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	525421	SNP	1	0	STR		0	3	10.67	2	0.5	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	526811	SNP	1	0	STR		0	3	9.67	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	531510	SNP	1	0			0			2	0.5	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	537823	SNP	1	0	STR		0	2	20.0	2	0.667	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	537827	SNP	1	0	STR		0	2	20.0	2	0.667	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	537831	SNP	1	0	STR		0	2	20.0	2	0.667	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	537835	SNP	1	0	STR		0	2	20.0	2	0.722	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	543837	SNP	1	0			0			2	0.944	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	543838	SNP	1	0			0			2	0.944	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	543839	SNP	1	0			0			2	0.944	-1.0	0	0	1	coding	synonymous_variant	-1
Pf3D7_01_v3	543847	SNP	1	0			0			2	0.944	-1.0	0	0	1	coding	stop_gained	-1
Pf3D7_01_v3	543852	SNP	1	0			0			2	0.944	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	543855	SNP	1	0			0			2	0.944	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	543856	SNP	1	0			0			2	0.944	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	548237	SNP	1	0			0			2	0.778	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	548239	SNP	1	0			0			2	0.778	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	569307	INDEL	-16	0.027			0			2	0.556	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	627856	SNP	1	0			0			2	0.556	-1.0	0	0	1	intergenic		-1
Pf3D7_01_v3	627953	SNP	1	0			0			2	0.611	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	627964	SNP	1	0			0			2	0.611	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	141499	SNP	1	0	STR		0	4	8.75	2	0.556	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	141503	SNP	1	0	STR		0	4	8.75	2	0.611	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	157590	INDEL	-14	0.175		TArep	0			4	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	161349	SNP	1	0	STR		0	13	10.38	2	0.556	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	161352	SNP	1	0	STR		0	13	10.38	2	0.722	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	161353	SNP	1	0	STR		0	13	10.38	2	0.722	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	161354	SNP	1	0	STR		0	13	10.38	2	0.722	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	163863	SNP	1	0			0			2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	164364	INDEL	4	0.128	STR	TArep	0	11	2.0	2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	166075	INDEL	16	0.405	STR	TArep	0	16	2.0	2	1.0	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	171009	SNP	1	0	STR		0	12	7.42	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	190074	SNP	1	0			0			2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	191960	SNP	1	0			0			2	0.444	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	191961	SNP	1	0			0			2	0.444	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	191962	SNP	1	0			0			2	0.444	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	192069	INDEL	4	0.128		TArep	0			2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	192072	SNP	1	0			0			2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	192789	INDEL	-1	0.027			0			3	0.722	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	193277	INDEL	4	0.128	STR	TArich	0	2	16.0	2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	193521	INDEL	6	0.159	STR	TArich	0	5	4.0	3	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	193539	SNP	1	0			0			2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	193837	INDEL	-8	0.027		TArich	0			2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	194531	INDEL	8	0.275		TArep	0			3	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	194832	SNP	1	0			0			2	1.0	-1.0	0	0	1	coding	synonymous_variant	-1
Pf3D7_02_v3	194835	SNP	1	0			0			2	1.0	-1.0	0	0	1	coding	synonymous_variant	-1
Pf3D7_02_v3	197036	INDEL	4	0.128		TArep	0			3	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	197714	INDEL	4	0.122		TArep	0			2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	198072	INDEL	16	0.625	STR	TArep	0	4	3.25	4	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	198776	SNP	1	0			0			2	1.0	-1.0	0	0	1	coding	synonymous_variant	-1
Pf3D7_02_v3	198788	SNP	1	0			0			2	1.0	-1.0	0	0	1	coding	synonymous_variant	-1
Pf3D7_02_v3	198839	SNP	1	0			0			2	1.0	-1.0	0	0	1	coding	synonymous_variant	-1
Pf3D7_02_v3	199406	SNP	1	0			0			2	1.0	-1.0	0	0	1	coding	synonymous_variant	-1
Pf3D7_02_v3	199777	SNP	1	0			0			2	0.611	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	199848	SNP	1	0			0			2	0.667	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	199967	INDEL	2	0.077	STR	TArep	0	7	4.0	2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	199968	SNP	1	0	STR		0	7	4.0	2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	199974	SNP	1	0	STR		0	7	4.0	2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	199975	SNP	1	0	STR		0	7	4.0	2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	200395	INDEL	10	0.256	STR	TArep	0	2	11.5	2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	200400	SNP	1	0			0			2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	200401	SNP	1	0			0			2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	200552	SNP	1	0			0			2	1.0	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_02_v3	200927	SNP	1	0			0			2	1.0	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_02_v3	201640	SNP	1	0			0			2	1.0	-1.0	0	0	1	coding	synonymous_variant	-1
Pf3D7_02_v3	202584	INDEL	21	0.478	STR	TArep	0	42	2.98	2	1.0	-1.0	0	0	1	coding	inframe_insertion	-1
Pf3D7_02_v3	203180	INDEL	-9	0.027		TArich	0			2	1.0	-1.0	0	0	1	coding	disruptive_inframe_deletion	-1
Pf3D7_02_v3	205486	INDEL	-4	0.027			0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	207495	SNP	1	0			0			2	0.889	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	207502	SNP	1	0			0			2	0.889	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	207514	INDEL	-75	0.027		TArep	0			2	0.889	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	216150	SNP	1	0	STR		0	1	20.0	2	1.0	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	231790	INDEL	-4	0.027		TArep	0			3	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	239040	INDEL	6	0.171		TArep	0			2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	239063	SNP	1	0			0			2	1.0	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	244481	INDEL	28	0.569			0			2	1.0	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	244534	INDEL	-4	0.027	STR	TArep	0	4	4.25	2	1.0	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	244950	INDEL	2	0.077		TArep	0			2	0.944	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	245023	SNP	1	0			0			2	0.944	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	248483	INDEL	-34	0.027			0			2	1.0	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	248719	SNP	1	0			0			2	0.667	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	248752	SNP	1	0			0			2	0.667	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	248787	INDEL	-62	0.027		TArep	0			2	0.667	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	254631	SNP	1	0	STR		0	36	2.28	2	0.944	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_02_v3	254638	SNP	1	0	STR		0	36	2.28	2	0.944	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_02_v3	254639	SNP	1	0	STR		0	36	2.28	2	0.944	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_02_v3	254646	SNP	1	0	STR		0	36	2.28	2	0.944	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_02_v3	254670	SNP	1	0	STR		0	18	7.28	2	0.944	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_02_v3	254674	SNP	1	0	STR		0	18	7.28	2	0.944	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_02_v3	254675	SNP	1	0	STR		0	18	7.28	2	0.944	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_02_v3	254686	SNP	1	0	STR		0	18	7.28	2	0.944	-1.0	1	0	0	coding	synonymous_variant	-1
Pf3D7_02_v3	262984	SNP	1	0	STR		0	2	22.0	2	0.667	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	262995	SNP	1	0	STR		0	2	22.0	2	0.667	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	263010	SNP	1	0			0			2	0.778	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	270688	SNP	1	0	STR		0	8	2.88	2	0.889	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	270692	SNP	1	0	STR		0	8	2.88	2	0.944	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	280426	SNP	1	0			0			2	0.556	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	280461	SNP	1	0			0			2	0.667	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	280465	SNP	1	0			0			2	0.667	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	280467	SNP	1	0			0			2	0.667	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	280479	SNP	1	0			0			2	0.778	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	287217	INDEL	4	0.128	STR	TArich	0	4	6.75	2	1.0	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	303193	INDEL	-6	0.027	STR		0	2	13.0	2	0.778	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	303194	INDEL	23	0.471	STR	TArep	0	2	13.0	2	0.778	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	306672	INDEL	93	1.306	STR	TArep	0	24	3.21	3	0.556	-1.0	1	0	0	coding	frameshift_variant&stop_gained	-1
Pf3D7_02_v3	326554	SNP	1	0			0			3	0.889	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	335241	INDEL	-4	0.027		TArich	0			2	1.0	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	358125	INDEL	4	0.128	STR	TArep	0	9	2.0	2	0.944	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	358358	INDEL	-2	0.027		TArep	0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	358793	INDEL	4	0.128		TArich	0			2	0.944	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	358808	INDEL	5	0.15	STR	TArich	0	4	5.5	2	0.944	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	360142	INDEL	21	0.44	STR		0	8	5.62	2	0.722	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	382948	SNP	1	0			0			2	0.889	-1.0	1	0	0	intergenic		-1
Pf3D7_02_v3	404224	SNP	1	0	STR		0	2	8.5	2	0.667	-1.0	0	1	0	intergenic		-1
Pf3D7_02_v3	413838	INDEL	-12	0.027	STR		0	3	5.0	2	1.0	-1.0	1	0	0	coding	inframe_deletion	-1
Pf3D7_02_v3	424875	SNP	1	0	STR		0	2	26.5	2	0.5	-1.0	0	0	1	intergenic		-1
Pf3D7_02_v3	424876	SNP	1	0	STR		0	2	26.5	2	0.667	-1.0	0	0	1	intergenic		-1
